sct;year;capitaux_propres;passifs_non_courant;total_bilan;stock;creance_client;actif_immobilier;resultat_net;chiffre_d_affaires
AB SCIENCE;12.17;10735.0;20381.0;50600.0;159.0;449.0;1910.0;-27122.0;1739.0
AB SCIENCE;12.18;-14962.0;17535.0;22491.0;153.0;236.0;1725.0;-26061.0;1701.0
AB SCIENCE;12.19;-26829.0;24226.0;17740.0;230.0;197.0;1610.0;-21747.0;1571.0
ABC ARBITRAGE;12.17;148867.0;0.0;153935.0;159.0;7217.0;1386.0;18309.0;0.0
ABC ARBITRAGE;12.18;146291.0;0.0;151983.0;153.0;8169.0;1161.0;19679.0;0.0
ABC ARBITRAGE;12.19;139902.0;2242.0;146354.0;230.0;6323.0;3046.0;18339.0;0.0
ACCOR;12.17;5826000.0;2768000.0;12076000.0;8000.0;403000.0;2964000.0;481000.0;1937000.0
ACCOR;12.18;6443000.0;2760000.0;12975000.0;15000.0;617000.0;4236000.0;2284000.0;3282000.0
ACCOR;12.19;6978000.0;3281000.0;13904000.0;20000.0;649000.0;3681000.0;485000.0;4049000.0
ACTIA GROUP;12.17;127451.0;97559.0;429273.0;108898.0;125065.0;80927.0;8510.0;433320.0
ACTIA GROUP;12.18;132817.0;79053.0;515870.0;136051.0;150262.0;111095.0;9194.0;476520.0
ACTIA GROUP;12.19;140388.0;133904.0;566791.0;161135.0;140223.0;144750.0;8724.0;520411.0
ADOCIA;12.17;36857.0;5781.0;53761.0;99.0;30.0;9045.0;-8550.0;19469.0
ADOCIA;12.18;45848.0;4892.0;70043.0;132.0;3.0;8846.0;7615.0;47389.0
ADOCIA;12.19;28040.0;18518.0;61953.0;181.0;360.0;9605.0;-18603.0;2143.0
ADP;12.17;5434000.0;5271000.0;14276000.0;33000.0;641000.0;9469000.0;614000.0;3617000.0
ADP;12.18;5801000.0;5909000.0;16067000.0;38000.0;637000.0;10633000.0;695000.0;4007000.0
ADP;12.19;6007000.0;6011000.0;16793000.0;94000.0;612000.0;11044000.0;637000.0;4700000.0
AFFINE;12.17;303527.0;230799.0;706312.0;33000.0;10683.0;998.0;-10969.0;3617000.0
AFFINE;12.18;291728.0;221420.0;623609.0;38000.0;12527.0;1808.0;440.0;4007000.0
AFFINE;12.19;285036.0;223030.0;610160.0;94000.0;12077.0;856.0;5456.0;4700000.0
AIR FRANCE-KLM;12.17;2420000.0;9859000.0;29963000.0;557000.0;2164000.0;12176000.0;163000.0;25864000.0
AIR FRANCE-KLM;12.18;1865000.0;9279000.0;29057000.0;633000.0;2191000.0;12864000.0;411000.0;26512000.0
AIR FRANCE-KLM;12.19;2299000.0;9420000.0;30735000.0;737000.0;2164000.0;14219000.0;293000.0;27188000.0
AIR LIQUIDE;12.17;16718400.0;12522400.0;41027300.0;1333700.0;2900000.0;20137000.0;2291600.0;20349300.0
AIR LIQUIDE;12.18;18207400.0;11709600.0;41980600.0;1460100.0;2500400.0;20847400.0;2207400.0;21011100.0
AIR LIQUIDE;12.19;19324400.0;12655000.0;43666500.0;1531500.0;2477900.0;21410300.0;2337600.0;21920100.0
