,sct,year,capitaux_propres,passifs_non_courant,total_bilan,stock,creance_client,actif_immobilier,resultat_net,chiffre_d_affaires
0,AB,2017,875090000.0,7778707000.0,8662590000.0,0.0,6075063000.0,165955000.0,112493000.0,163373481.976
1,AB,2018,978601000.0,7902909000.0,8885599000.0,0.0,5930429000.0,169076000.0,125280000.0,125303294.838052
2,AB,2019,1081664000.0,7925654000.0,9011329000.0,0.0,5728896000.0,190413000.0,146556000.0,151325449.23999
3,ADWYA,2017,39032619.0,7252438.0,90571902.0,27270466.0,18285863.0,34527355.0,4914454.0,20021004.1796
4,ADWYA,2018,39002918.0,13751706.0,112132832.0,35229673.0,21852736.0,38819278.0,3122741.0,5141763.811196
5,ADWYA,2019,38336184.0,12166398.0,114190019.0,36131272.0,19633176.0,40836621.0,1547713.0,4200417.649382
6,AETECH,2017,-2572348.0,539372.0,9205797.0,1387941.0,6945963.0,847566.0,-3714447.0,3745916.220535
7,AETECH,2018,-4859526.0,984316.0,7688829.0,651883.0,6579610.0,585963.0,-2287178.0,3864843.75164
8,AETECH,2019,-5085807.0,1280382.0,4682115.0,518663.0,4519330.0,350952.0,-226281.0,33230106.930798
9,AIR LIQUDE TSIE,2017,50209321.0,14387669.0,85856372.0,12401713.0,30651737.0,31731960.0,9207445.0,93904946.700524
10,AIR LIQUDE TSIE,2018,55755495.0,14387669.0,95999314.0,15567545.0,34094841.0,29507214.0,12351657.0,13183844.893485
11,AIR LIQUDE TSIE,2019,61070757.0,11949697.0,107706997.0,17211920.0,38361417.0,30745398.0,12531661.0,12612193.069468
12,ALKIMIA,2017,32031513.0,41131972.0,189602234.0,29983798.0,66382866.0,82976124.0,-19479274.0,139085487.68199998
13,ALKIMIA,2018,13557779.0,49450566.0,218746713.0,49032040.0,60333136.0,100857692.0,-18411999.0,20504743.550665
14,ALKIMIA,2019,15672263.0,53543157.0,236176354.0,38576666.0,55944253.0,116251051.0,-29226544.0,33627500.42089
15,AMS,2017,-19628455.0,16507369.0,48542725.0,28211358.0,12538458.0,902230.0,-19624542.0,121993674.711444
16,AMS,2018,-39122813.0,14270160.0,36276697.0,24070712.0,9181619.0,5795574.0,-19444988.0,92375444.596
17,AMS,2019,-68046924.0,15019578.0,20611101.0,9014534.0,9630865.0,4669269.0,-28924111.0,33342012.131116
